和子女王	And son queen 
黄小柔	Huang Xiaorou 
衍庆宫淑妃	Concubine Yanqing Gongshu 
敦仪亲王	Prince Dunyi 
圣卢西亚县_(佛罗里达州)	Saint Lucia County_(Florida) 
王荣_(政治人物)	Wang Rong_(Politician) 
诺咸顿城足球俱乐部	Norhamton City Football Club 
李宝安	Li Baoan 
gt-i9250	gt-i9250 
pontedera	pontedera 
u20世界杯足球赛	u20 World Cup 
周联侨	Zhou Lianqiao 
工人总联盟	General union of workers 
欧洲议会主席	President of the European Parliament 
汤姆孙散射	Thomson scattering 
魏宣武帝	Emperor Wei Xuanwu 
岛原湾	Shimabara Bay 
俄罗斯足球总会	Russian Football Association 
阪本将基	Sakamoto Masaki 
乔利埃特_(伊利诺州)	Joliet_ (Illinois) 
商用车辆	Commercial vehicle 
锥栗属	Castanopsis 
多特蒙德二队	Dortmund Second Team 
塞西莉娅_(诺曼底)	Cecilia_ (Normandy) 
八剌沙衮	Balasagon 
墨尔本武士足球俱乐部	Melbourne Warriors Football Club 
大石田町	Oishida Town 
马越嘉彦	Ma Yue Jiayan 
倚天屠龙记_(2009年电视剧)	Heaven and Dragon Slayer_ (2009 TV series) 
wiki软体	wiki software 
奥地利年度最佳运动员	Austrian athlete of the year 
胡赐道	Hu Cidao 
哥本哈根足球俱乐部	Copenhagen Football Club 
希伯来大学	Hebrew University 
只是…想见你	Just...want to see you 
区域快铁	Regional Express Rail 
奥斯卡·汉默斯坦二世	Oscar Hammerstein II 
共同起源	Common origin 
英属奎亚那辅政司	Secretary of State for British Quinana 
中国电视剧制作中心	China TV Drama Production Center 
第一届阿米尔·谢里夫丁内阁	The First Cabinet of Amir Sharifuddin 
影山浩宣	Hironobu Kageyama 
帕梅拉斯足球俱乐部	Palmeras Football Club 
永恒轮回	Eternal reincarnation 
幸运杜塞尔多夫	Lucky Dusseldorf 
小林明美	Kobayashi Akemi 
街头魔法王	Street Magic King 
google电子钱包	google wallet 
清水健太	Kenta Shimizu 
市长-议会制	Mayor-Parliamentary System 
宁常在	Ning Changzai 
.mn	.From 
快速贷款球馆	Quick Loan Arena 
斯洛文尼亚自由民主党	Liberal Democratic Party of Slovenia 
真实的自我_(buono!单曲)	Real Self_(buono! Single) 
最终幻想vii补完计划	Final Fantasy vii completion plan 
细田吉藏	Hosoda Yoshizo 
卡洛林唱片	Caroline Records 
国家行政学院	National School of Administration 
中国中央电视台新闻频道	China Central Television News Channel 
埃尔卡亚俄	El callao 
威廉·哈钦森_(澳大利亚政治家)	William Hutchinson_ (Australian politician) 
美洲原住民语言	Native American languages 
赞比西河	Zambezi 
俞仁秀	Yu Renxiu 
省直管县	Province directly manages counties 
罗马尼亚议会	Romanian Parliament 
准军事部队	Paramilitary forces 
瑞安航空	Ryanair 
稻垣祥	Inagaki 
环境科学	Environmental science 
承天顺化省	Chengtian Hue Province 
陶鹏飞	Tao Pengfei 
盖革－马士登实验	Geiger-Marsden experiment 
难得有情人_(关淑怡国语专辑)	Rare Lovers_(Shirley Guan Mandarin Album) 
平安南道	Ping An South Road 
李公乐_(1962年)	Li Gongle_ (1962) 
佩吉与普兰特	Peggy and Plant 
南德内语支	South German branch 
小柳友	Koyanagi 
攻占巴士底狱	Capture the Bastille 
弗雷亚蒙德足球俱乐部	Freyamond Football Club 
大多伦多地区	Greater Toronto Area 
牧浦裕司	Yuji Makiura 
越前町	Echizen Town 
希腊区域	Greece area 
智利足球乙级联赛	Chile Football League Two 
霍夫曼降解反应	Hoffman degradation reaction 
市政府车站	City Hall Station 
小野濑康介	Onose Kousuke 
费尔干纳纳夫兹足球俱乐部	Fergana Nafs Football Club 
海洋航空	Ocean Airlines 
卡路夫文	Karlovy 
米德尔敦_(康涅狄格州)	Middletown_ (Connecticut) 
松平直侯	Naoyoshi Matsudaira 
姜卓文	Jiang Zhuowen 
火星科学实验室	Mars Science Laboratory 
韩国人	Korean 
佛罗里达马林鱼	Florida Marlins 
中波希米亚州	Central Bohemia 
葡萄牙总统	President of Portugal 
ストリーミング	Streaming 
girls～selfish～	girls～selfish～ 
戈尔韦	Galway 
齐柏林飞船	Zeppelin 
德国联邦特别任务部	German Federal Special Task Force 
意大利政府	Italian government 
纽卡索国际体育中心	Newcastle International Sports Centre 
徐太志乐队	Xu Taizhi Band 
狄摩语群	Dimo Group 
开放天空	Open sky 
非都会区	Non-urban area 
欧罗巴体育俱乐部	Europa Sports Club 
超越善恶	Beyond good and evil 
中山纱央里	Zhongshan Sayangli 
陈丽贞	Chen Lizhen 
比哲特_(告罗士打公爵夫人)	Bizhet_ (Duchess of Gloucester) 
斯洛伐克足球协会	Slovak Football Association 
clayfighter	clayfighter 
上流俗女	Upper class female 
佩里维尔战役	Battle of Perryville 
伦敦铁路	London Railway 
泰坦3号b运载火箭	Titan 3b carrier rocket 
开南大学	Kainan University 
百万新娘	Million brides 
长三角高校合作联盟	Yangtze River Delta University Cooperation Alliance 
欧洲反资本主义左翼	European anti-capitalist left 
超星舰队	Super Star Fleet 
岑国荣	Cen Guorong 
最终幻想agito	Final fantasy agito 
区志华	Ou Zhihua 
国民议会_(阿塞拜疆)	National Assembly_ (Azerbaijan) 
临海线_(东京临海新交通)	Rinkai Line_(Tokyo Rinkai New Transportation) 
远东航空	Far East Airlines 
上海金牌大风文化传播有限公司	Shanghai Gold Medal Dafeng Culture Communication Co., Ltd. 
洪莹莹	Hong Yingying 
外交学院	Foreign Affairs College 
德国联邦大会	German Federal Assembly 
伊斯兰促进会	Islamic Promotion Association 
阿佛列·寇松，第四代斯卡斯代尔男爵	Alfred Curzon, 4th Baron Scarsdale 
安田章大	Shota Yasuda 
凤凰四重奏	Phoenix Quartet 
wikt:zh:满族	wikt:zh: Manchu 
香港二十元纸币	Hong Kong Twenty Dollar Notes 
荷兰10万人口以上城市列表	List of cities in the Netherlands with a population of more than 100,000 
驻战争部大臣	Minister of war 
剑桥大学王后学院	Queens College, Cambridge University 
雅加达佩斯查	Jakarta Pescha 
竹沪里	Zhuhuli 
德国17岁以下国家足球队	Germany Under-17 National Football Team 
修罗场_(东京事变单曲)	Shura Field_(Tokyo Incidents Single) 
联合国维持和平行动列表	List of United Nations Peacekeeping Operations 
中欧大学	Central European University 
新英格兰镇	New England Town 
协商民主	Deliberative democracy 
朝日放送	Asahi Broadcasting 
瑞亲王	Prince Swiss 
铁道镇站	Railway Town Station 
plasan	Place the 
.ci	.this 
斯温顿足球俱乐部	Swindon Football Club 
长谷川菜穗子	Hasegawa Naoko 
樵臆惠最	Qiao Jian Hui Zui 
玛丽亚·卡罗琳娜_(两西西里)(1820－1861)	Maria Carolina_(Two Sicily) (1820-1861) 
朱家苇	Zhu Jiawei 
尹光_(足球运动员)	Yin Guang_ (football player) 
第一次帕尼帕特战役	The first battle of Panipat 
阿尔瓦拉德球场	Alvalade Stadium 
摩纳哥王储	Crown Prince of Monaco 
战斗之星	Battle star 
英国全国铁路	British National Railway 
伊藤和枝	Kazue Ito 
米高白兰斯	Michael Brands 
米克_(科罗拉多州)	Mick_ (Colorado) 
中国民主建国会	China Democratic National Construction Association 
让-巴斯蒂特·萨伊	Jean-Bastit Say 
十字勋章	Cross Medal 
长江水系	Yangtze River System 
伍卫国	Wu Weiguo 
新南威尔士大学	University of New South Wales 
神村奖	Kamura Award 
光田康典	Yasunori Mitsuda 
德宏傣族景颇族自治州	Dehong Dai and Jingpo Autonomous Prefecture 
安乐影片	Ease Videos 
玉森裕太	Yuta Tamamori 
国家救国阵线	National Salvation Front 
那莱王	King Narai 
叶伟民	Ye Weimin 
狼堡体育俱乐部	Wolfsburg Sports Club 
中原区_(郑州市)	Zhongyuan District_(Zhengzhou City) 
福特福克斯	Ford Focus 
神是中学生	God is a middle school student 
北京十大建筑	Top Ten Buildings in Beijing 
苏特拿	Sutherna 
瓜达卢佩圣母	Our Lady of Guadalupe 
韩善伙	Han Shanhuo 
希思罗机场控股公司	Heathrow Airport Holdings 
六反勇治	Yuji Rokutan 
多尼戈尔郡	Donegal County 
伊斯坦堡b.b.	Istanbul b.b. 
福田信昭	Fukuda Nobuaki 
索马利亚分支	Somalia branch 
圣巴巴拉_(加利福尼亚州)	Santa Barbara_ (California) 
今井和久	Kazuhisa Imai 
佩斯大学	University of Perth 
布赖顿-霍夫	Brighton-Hove 
但马皇女	Tajima 
港南里	Konan-ri 
哥斯达黎加足球甲级联赛	Costa Rica Football League 
风之刀	Wind Knife 
亨利·菲普斯，第一代麦尔葛雷夫伯爵	Henry Phipps, the first Earl of Melgrave 
台湾国际造船	Taiwan International Shipbuilding 
皇家戏剧艺术学院	Royal Academy of Dramatic Art 
流星花园_(台湾电视剧)	Meteor Garden_ (Taiwan TV Series) 
赵永植	Zhao Yongzhi 
盘锦市奥林匹克体育中心体育场	Panjin Olympic Sports Center Stadium 
中美洲议会	Central American Parliament 
库尔伙伴	Chur partner 
老友记_(第二季)	Friends_ (Second Season) 
达尔文奖	Darwin Prize 
西谷弘	Hiroshi Nishitani 
mendonk	mendonk 
卡塔尔足球协会	Qatar Football Association 
越南祖国阵线	Vietnam Fatherland Front 
田中明日菜	Tanaka Asuna 
太阳之子	Son of the Sun 
苏格兰的玛蒂尔达	Matilda of Scotland 
云南话	Yunnan dialect 
工布地区	Gongbu area 
蒋子轩	Jiang Zixuan 
可立中学（啬色园主办）	Ke Li Middle School (Sponsored by Sik Sik Yuen) 
平沼桥站	Hiranuma Bridge Station 
西阿蒙_(雅赫摩斯一世之子)	Simon _ (son of Yahmos I) 
景气循环	Boom cycle 
人工草坪	Artificial turf 
尚德王	Shang Dewang 
隐秘行动	Covert action 
阿波罗多特斯一世	Apollodotus I 
哥伦比亚县_(华盛顿州)	Columbia County_(Washington State) 
美洲红鹳	American Flamingo 
中华人民共和国国家人口和计划生育委员会	National Population and Family Planning Commission of the People's Republic of China 
苏俄人民委员	Soviet commissar 
杜占元	Du Zhanyuan 
陆无双	Lu Wushuang 
光明天皇	Emperor Komyō 
艾略特兄弟公司	Elliott Brothers 
巴士快速交通系统	Bus rapid transit system 
第63届黄金时段艾美奖	The 63rd Primetime Emmy Awards 
松本山雅足球俱乐部	Matsumoto Yamaga Football Club 
2017年亚足联冠军联赛	2017 AFC Champions League 
首席大检察官	Chief prosecutor 
阿吉德王朝	Ajid Dynasty 
日本吊钟花	Japanese bell flower 
教宗克雷	Pope Clay 
二十世纪梨	20th Century Pear 
夏威夷大学马诺阿分校	University of Hawaii at Manoa 
坂本宗华	Chun Wha Sakamoto 
新迦南	New Canaan 
国家法西斯党	National Fascist Party 
三套车	Three sets of cars 
网格计算	Grid computing 
天平神护	Tianping God Guard 
它拿字母	It takes letters 
义守大学	Yishou University 
域天奴	Yutiannu 
钢棒吉他	Gangbang guitar 
德克萨斯州，休斯顿	Houston, Texas 
大公教会	Catholic church 
土鲁斯市政球场	Toulouse Municipal Stadium 
山中诚晃	Seiko Yamanaka 
闲院宫孝仁亲王	Prince Hyohito 
法莱兹包围战	Siege of Falaise 
山南新区	Shannan New District 
庞费拉迪纳体育协会	Ponferadina Sports Association 
中共中央政策研究室	CPC Central Committee Policy Research Office 
不列颠南非公司	British South Africa Company 
巴林足球协会	Bahrain Football Association 
约瑟芬_(丹麦公主)	Josephine_ (Princess of Denmark) 
舍人亲王	Prince Dearen 
女生规则	Girls rules 
斯卡格拉克海峡	Skagerrak 
西武新宿站	Seibu Shinjuku Station 
亚历山德拉公主_(爱丁堡和萨克森-科堡-哥达)	Princess Alexandra_ (Edinburgh and Saxony-Coburg-Gotha) 
支尔格大会	Loya Jirga 
1996年夏季奥林匹克运动会女子足球比赛	Women's football match at the 1996 Summer Olympics 
雅盖洛王朝	Jagello 
哈里发国际网球中心	Khalifa International Tennis Center 
班布里奇·科尔比	Bainbridge Colby 
苏联国家元首列表	List of heads of state of the USSR 
新疆体彩足球俱乐部	Xinjiang Sports Lottery Football Club 
.cz	.cz 
file:清_佚名_《清世祖顺治皇帝朝服像》.jpg	file:Qing_Anonymous_ "The Statue of Emperor Shunzhi of the Qing Dynasty".jpg 
让-吕克·南希	Jean-Luc Nancy 
燕文贵	Yan Wengui 
püspökladány	bishop 
哈米黛可敦	Hamid Deokdon 
井上麻里奈	Marina Inoue 
谷亮子	Ryoko Tani 
团结飞机公司	Unity Aircraft Company 
rokiškis	rock man 
军功十字勋章	Military Meritorious Cross 
临绍小片	Risa Ogata 
张煌言	Zhang Huangyan 
余伟俊	Yu Weijun 
大同公司	Datong Company 
中菲律宾亚语支	Central Filipino 
阿塞拜疆总理列表	List of Prime Ministers of Azerbaijan 
日式旅馆	Ryokan 
后冷泉天皇	Emperor Lengquan 
范子内亲王	Prince Fanzi Nei 
林比	Limby 
李敏圭	Lee Min Kyu 
艾柏拉特斯‧维斯拿高夫斯	Abratus Wisnagoffs 
freebass	freebass 
.cn	.cn 
李志豪_(足球员)	Li Zhihao_(Football player) 
陈富明	Chen Fuming 
千家典子	Chika Noriko 
x86架构	x86 architecture 
下诺夫哥罗德	Nizhny Novgorod 
黎巴嫩海军	Lebanese Navy 
山形村_(长野县)	Yamagata Village_(Nagano Prefecture) 
陈百里	Chen Baili 
驹泽大学	Komazawa University 
平井卓也	Takuya Hirai 
s:交通部组织法	s: Organic Law of the Ministry of Transport 
夏美度	Summer 
森保翔平	Shohei Moriyasu 
喜鹊娱乐有限公司	Magpie Entertainment Co., Ltd. 
沙特阿拉伯足球联赛	Saudi Arabia Football League 
李唐	Li Tang 
成濑富久	Naruse Tomohisa 
孝贞显皇后	Queen Hyo Jeong Hyun 
王政复古	Wang Zheng Retro 
一党优势制	One-party advantage 
哈罗德·亚历山大，第一代突尼斯的亚历山大伯爵	Harold Alexander, the first Earl of Alexandria of Tunisia 
顿巴斯球场	Donbass Stadium 
凯沙罗顿足球俱乐部	Kessarroton Football Club 
hṛṣṭa	hṛṣṭa 
亚洲万里通	Asia Miles 
泽西议会	Jersey Council 
围谦太朗	Kentaro Kakoi 
.sv	.sv 
高圆寺站	Koenji Station 
枫叶体育娱乐有限公司	Maple Leaf Sports Entertainment Co., Ltd. 
山越享太郎	Kyotaro Yamakoshi 
南高加索	South Caucasus 
远藤利明	Endo Toshiaki 
bazentin	basentin 
上海金牌大风文化传播有限公司广州分公司	Shanghai Gold Medal Dafeng Culture Communication Co., Ltd. Guangzhou Branch 
地拉那农业大学	Tirana Agricultural University 
大前元纪	Epoch 
坂井泉水	Izumi Sakai 
有田光希	Koki Arita 
上原多香子	Takako Uehara 
平话字	Plain words 
彼得沙尔卡足球俱乐部	Peter Schalka Football Club 
新村猛雄	Takeo Nimura 
台湾省国语推行委员会	National Language Promotion Committee of Taiwan Province 
两个爸爸	Two dads 
上古卷轴系列	The Elder Scrolls Series 
港明里	Akari Minato 
希腊军队	Greek army 
西岗龙一朗	Xigang Longyilang 
earshot_(buffy_the_vampire_slayer)	earshot_(buffy_the_vampire_slayer) 
今村雅弘	Masahiro Imamura 
生源说	Birthplace theory 
韩国足协杯	Korea Football Association Cup 
电影发行	Movie release 
伊朗伊斯兰革命卫队军衔和徽章	The rank and emblem of the Islamic Revolutionary Guard of Iran 
安部三十郎	Sanjuro Abe 
玛丽亚·安东妮艾塔_(两西西里)	Maria Antonietta_ (Two Sicily) 
游戏机历史_(第四世代)	Game console history_ (fourth generation) 
何耀宗	He Yaozong 
.bn	.The son of 
忘记他	forget him 
ilgar_gurbanov	ilgar gurbanov 
乌丁根足球俱乐部	Udingen Football Club 
乾隆帝皇八女	The Eight Daughters of Emperor Qianlong 
维京球场	Viking Stadium 
游戏存档	Game archive 
巴腾堡郡主维多利亚·尤金妮亚	Victoria Eugenia, Lord of Battenberg 
西村拓真	Takuma Nishimura 
诺基亚通信	Nokia Communications 
国机集团	SINOMACH 
国际通	International Pass 
阿兰胡埃斯条约	Treaty of Aranjuez 
伊朗伊斯兰运动	Islamic Movement of Iran 
麦菲拿	McPhila 
赞比里	Zambiri 
鲸头鹳	Stork 
极光之爱	Aurora Love 
北京第二外国语学院	Beijing Second Foreign Language Institute 
古巴社会主义革命统一党	Cuban socialist revolutionary united party 
美国演员工会奖最佳男配角	Screen Actors Guild Awards for Best Supporting Actor 
比路易-费迪南·塞琳	Than Louis-Ferdinand Celine 
萨迪什·达万航天中心	Sadish Dhawan Space Center 
whippingham	whippingham 
大德里_(旗山区)	Greater Delhi_(Qishan District) 
锡达镇区_(蔡斯县)	Cedar Township_(Chais County) 
瑞典自治市议会	Swedish Municipal Council 
蜂蜜幸运草_(台湾电视剧)	Honey Clover_ (Taiwan TV Series) 
希腊复兴式建筑	Greek Revival Architecture 
伦敦巴士	London Bus 
唯独古兰经	Only the Quran 
后油渍摇滚	Post-grease rock 
华特迪士尼唱片	Walt Disney Records 
查理十世	Charles X 
西属摩洛哥	Spanish Morocco 
含风殿	Palace of Hanfeng 
教育部体育署	Sports Department of the Ministry of Education 
卡累利阿共和国国旗	Flag of the Republic of Karelia 
新鸟栖车站	Shin Tosu Station 
美国海军军令部	U.S. Naval Command 
鹈形目	Pelicans 
爸爸回来了	Dad is back 
乌拉圭战争	Uruguay War 
纽卡斯尔市议会	Newcastle City Council 
经文歌	Scripture Song 
东洛杉矶学院	East Los Angeles College 
明尼阿波利斯－圣保罗国际机场	Minneapolis-Saint Paul International Airport 
比利时众议院参议院	Senate of the Belgian House of Representatives 
于立群	Yu Liqun 
广福公园	Guangfu Park 
圣伯多禄锁链堂	St. Peter's Chain Church 
大东联盟	Great Eastern Alliance 
爱你_(王心凌专辑)	Love You_(Wang Xinling Album) 
罗伯特·海莱因	Robert Heline 
宁杭客运专线	Nanjing-Hangzhou Passenger Dedicated Line 
山形县综合运动公园	Yamagata Sports Complex 
金久保万吉	Kanakubo Mankichi 
波特瓦特米县_(俄克拉何马州)	Potterwater County_(Oklahoma) 
弗朗切斯科四世_(摩德纳)	Francesco IV_ (Modena) 
渡边航	Watanabe 
a&m唱片公司	a&m record company 
大乐团	Big Orchestra 
.my	.my 
玉立-约尔·埃德尔斯坦	Yuli-Joel Edelstein 
加西亚一世_(莱昂)	Garcia I_ (Leon) 
雪铁龙凯旋	Citroen Triumph 
智利大学	University of Chile 
组合语言	Assembly language 
文素勤	Wen Suqin 
施瓦本的理查蒂丝	Richards of Swabia 
atco唱片	atco record 
十二月党人起义	December uprising 
格鲁门公司	Grumman 
梅兆辉	Mei Zhaohui 
西马来-波利尼西亚语群	West Malay-Polynesian group 
皮雅斯特王朝时期的波兰	Poland in the Piast Dynasty 
梅尔顿郡	Melton County 
圣彼得堡音乐学院	Saint Petersburg Conservatory 
富贵门	Wealth gate 
悉尼奥林匹克公园	Sydney Olympic Park 
上帝拯救南方	God saves the South 
两文三语	Biliterate and trilingual 
社会达尔文主义	Social Darwinism 
拉森达体育场	Lasenda Stadium 
二井原実	Minoru Niihara 
香港金融管理局	Hong Kong Monetary Authority 
张学曾	Zhang Xuezeng 
玩具总动员2	Toy Story 2 
1989年罗马尼亚革命	Romanian Revolution of 1989 
上田悠起	Yuki Ueda 
ゆうきりん	Yuuki Rin 
东北红豆杉	Taxus cuspidata 
潘特里安电影公司	Pantryan Films 
彩虹天堂传播	Rainbow heaven spread 
m&n	m&n 
纳粹黑金属	Nazi Black Metal 
小汉斯·霍尔拜因	Hans Holbein Jr 
芝加哥大学法学院	University of Chicago School of Law 
玛丽亚·帕芙洛娃大公夫人_(萨克森-魏玛-艾森纳赫)	Grand Duchess Maria Pavlova (Saxony-Weimar-Eisenach) 
因斯布鲁克大学	University of Innsbruck 
约翰·布罗德里克，第一代米德尔顿伯爵	John Broderick, the first Earl of Middleton 
巴斯德研究院	Pasteur Institute 
上海机场集团	Shanghai Airport Group 
星际大战人物列表	List of Star Wars characters 
inchicore	inchicore 
小幡殿	Obata 
.krd	.krd 
谭启龙	Tan Qilong 
李同道	Li Tongdao 
欧萱	Ou Xuan 
宁平凯撒水泥足球俱乐部	Ninh Binh Caesar Cement Football Club 
阿部公二	Koji Abe 
本科教育	Undergraduate Education 
维希尼奥韦斯基王朝	Vishnyovsky dynasty 
哈勒足球俱乐部	Halle Football Club 
元宝炬	Ingot Torch 
安道尔大公列表	List of Grand Duke of Andorra 
域度法兰斯高	Franco 
台视综合台	Taiwan TV 
港正里	Gangzhengli 
爱琴海诸岛	Aegean Islands 
张常在	Zhang Changzai 
南德拉维达语族	South Dravidian 
哥斯达黎加总统	President of Costa Rica 
大红花	big Red flower 
.fk	.fk 
霍夫曼消去	Hoffman eliminated 
所罗门群岛君主	Solomon Islands monarch 
吉罗德·伽德纳，伽德纳男爵	Gerald Gardner, Baron Gardner 
speedball	speedball 
威尔逊山天文台	Mount Wilson Observatory 
列克提克语分支	Lektic branch 
一夜长大	Grow up overnight 
茨城町	Ibaraki Town 
独立工党	Independent Labor Party 
后藤博幸	Hiroyuki Goto 
闭源软件	Closed source software 
东弗拉芒洛克伦皇家体育俱乐部	East Flemish Lokeren Royal Sports Club 
柏度卡	Patuka 
法顿公园球场	Farton Park 
falintil	falintil 
jp:长信	jp: long letter 
冯正霖	Feng Zhenglin 
大学校	University 
信息安全	information security 
吉原宏太	Kota Yoshihara 
球类运动	Ball games 
特斯拉线圈	Tesla coil 
英雄连队	Company of Heroes 
绿河_(犹他州)	Green River_ (Utah) 
松平忠明	Matsudaira 
英国车牌地区代码	UK license plate area code 
加速计	Accelerometer 
一级方程式	Formula one 
俄罗斯联邦武装力量总参谋部	General Staff of the Armed Forces of the Russian Federation 
英国重金属新浪潮	New Wave of British Heavy Metals 
天主教库库塔教区	Catholic Diocese of Cúcuta 
图尔库tps足球俱乐部	Turku tps football club 
chickenfoot	chickenfoot 
那罗梯诃波帝	Narothi Bodi 
俄罗斯人民代表大会	Russian People's Congress 
决战一分钟	Fight for a minute 
西双版纳傣文	Xishuangbanna Dai 
关户刚	Sekito Go 
宫川富美子	Fumiko Miyagawa 
那须盐原市	Nasushiobara City 
柳青润	Liu Qingrun 
菲利普-查尔斯（安茹公爵）	Philip Charles (Duke of Anjou) 
安道尔自由党	Liberal Party of Andorra 
抑速制动	Stabilizing brake 
金州勇士队	Golden State Warriors 
中国驻日本大使列表	List of Chinese Ambassadors to Japan 
冰岛总理	Prime Minister of Iceland 
西西里的康斯坦斯	Constance of Sicily 
路泽恩县	Luzeen County 
杰克逊民主党	Jackson Democrats 
德国u-21	Germany u-21 
不肖子定理	Theorem 
中国土木工程詹天佑奖	China Civil Engineering Zhan Tianyou Award 
和田圭市	Keiichi Wada 
京剧演员	Peking opera actors 
伯明翰城足球俱乐部	Birmingham City Football Club 
川崎裕大	Yasumasa Kawasaki 
向里瑞	Xiang Lirui 
罗天宇	Luo Tianyu 
圣雷那流	Saint lena stream 
科威特中央银行	Central Bank of Kuwait 
蒙古文字	Mongolian script 
国家历史文化名城	National Historic and Cultural City 
中间派民主党国际	Centrist democratic international 
恋爱冒险	Love adventure 
兀都思不花	Wu Du Si does not spend 
月刊电击comic_gao!	Monthly Dengeki comic_gao! 
保护主义党	Protectionist Party 
纽约与新泽西港口事务管理局	Port Authority of New York and New Jersey 
博明王	King Boming 
宫本幸裕	Yukhiro Miyamoto 
麒麟电视	Kylin TV 
内大臣府	Lord Keeper of the Interior 
华顶宫博经亲王	Prince of Huading Palace Bojing 
主体纪元	Subject Era 
韩长赋	Han Changfu 
南斯拉夫克朗	Yugoslav Krona 
卡尔·路德维希大公	Grand Duke Karl Ludwig 
大邱体育场	Daegu Stadium 
君士坦丁堡大皇宫	The Grand Palace of Constantinople 
石家庄站	Shijiazhuang Station 
上洲里	Shangzhouli 
罗马城郊教区	Diocese of Rome 
欧洲空间局	European Space Agency 
马卢尔县	Malur County 
相模铁道	Sagami Railway 
第一代查塔姆伯爵威廉·皮特	William Pitt, 1st Earl of Chatham 
法比奥·费拉拿	Fabio Ferrana 
.lb	.lb 
今泉昭	Akira Imaizumi 
涛女郎	Tao Girl 
上海迪士尼度假区	Shanghai Disney Resort 
西吉斯蒙德王子	Prince Sigismund 
铁道建设、运输施设整备支援机构	Railway construction, transportation facility maintenance support organization 
e·e·伊凡-普理查	e.e. Ivan-Prichard 
løve爱无止尽	løve love is endless 
山阳县_(江苏省)	Shanyang County_(Jiangsu Province) 
武里喃联足球俱乐部	Buriram United Football Club 
前200年	200 years ago 
电子罗盘	Electronic compass 
打工吧！魔王大人	Let's work! big boss 
章顺王后	Queen Zhangshun 
沈阳城市	Shenyang City 
语义外部论	Semantic externalism 
萨丁尼亚斯库多	Sardinia Scudo 
电子科技大学	University of Electronic Science and Technology 
pen/diamonstein-spielvogel文化艺术奖	pen/diamonstein-spielvogel culture and art prize 
新加坡国会大厦	Singapore Parliament Building 
依斯米安足球联赛超级组	Ismian Football League Super Group 
波兰军队总参谋部	Polish Army General Staff 
广播卫星	Broadcast satellite 
日本世大运女足代表队	Japan Universiade Women's Football Team 
习和平	Xi Heping 
恐怖生存	Survival of Horror 
剑桥大学三一学堂	Cambridge University Trinity School 
关本美津子	Mitsuko Sekimoto 
额亦都	Yidu 
加勒比海盗：黑珍珠号的诅咒	Pirates of the Caribbean: The Curse of the Black Pearl 
英国国会选区	British Parliamentary District 
安哈特-采尔布斯特	Anhalt-Zelbst 
内阁官房副长官	Deputy Chief of the Cabinet Secretariat 
雷诺方程式	Formula Renault 
新加坡报业控股	Singapore Press Holdings 
亚洲星光大道3	Asian Avenue of Stars 3 
上原慎也	Shinya Uehara 
怀尔森林_(英国国会选区)	Wyre Forest_(British Parliamentary District) 
大卫·格里菲斯_(物理学家)	David Griffith_ (physicist) 
增田宽也	Masuda Hiriya 
参议院多数党领袖	Senate Majority Leader 
宫城事件	Miyagi Incident 
斯卡斯代尔_(纽约州)	Scarsdale_ (New York State) 
法网豪情	French Open pride 
占·奈特，韦茅斯的奈特男爵	James Knight, Baron Knight of Weymouth 
巴基斯坦独立运动	Pakistan Independence Movement 
windows影像中心	windows image center 
埃德蒙·居约-德赛涅	Edmund Guyo-Desene 
前221年	221 years ago 
拜托小姐	Please miss 
国王诞辰	King's birthday 
非暴力抵抗	Nonviolent resistance 
agaw	agaw 
隆波烈	Lompore 
米泽车站	Yonezawa Station 
莫斯科斯巴达克	Spartak Moscow 
草尾毅	Kusao Takeshi 
罗克河_(伊利诺州)	Rock River_ (Illinois) 
维多利亚-达孔基斯塔	Victoria da Conquista 
powerviolence	powerviolence 
无主之地	Borderlands 
清版动作游戏	Clear version action game 
懿靖大贵妃	Concubine Yijing 
野口辽太	Ryota Noguchi 
渡边泰司	Yasushi Watanabe 
时间简史	Brief History of Time 
布隆菲尔德路球场	Bloomfield Road Stadium 
维尔纽斯格迪米纳斯技术大学	Gediminas Technical University of Vilnius 
伊莉莎伯·道格拉斯-休姆，夏塞尔的休姆男爵夫人	Elizabeth Douglas-Hume, Baroness Hume of Chassel 
纽约联邦储备银行	Federal Reserve Bank of New York 
路德维希_(黑森-达姆施塔特)	Ludwig_ (Hesse-Darmstadt) 
调频一新闻	FM-News 
吴俊鹏	Wu Junpeng 
山本真希	Masaki Yamamoto 
伊藤忠商事	ITOCHU 
大连长波	Dalian Changbo 
欧仁·克洛迪乌-佩蒂	Eugene Claudius-Petti 
梅德韦大学	Medway University 
木村孝洋	Takahiro Kimura 
步步惊情	Step by step 
富野由悠季	Yoshiyuki Tomino 
村上信五	Murakami Shingo 
sh-60海鹰直升机	sh-60 Seahawk helicopter 
鹃形目	Cuckoo form 
苏我大蕤娘	Su Wo big protactinium 
波士尼亚摇滚	Bosnian Rock 
体育管理机构	Sports Management Agency 
中华人民共和国信息产业部	Ministry of Information Industry of the People's Republic of China 
肯尼亚中央银行	Central Bank of Kenya 
大政奉还	Great political return 
利奥波德一世_(神圣罗马帝国)	Leopold I_ (Holy Roman Empire) 
②℃-ute神圣的精选辑	② ℃-ute sacred selection 
