节奏蓝调	Rhythm and blues 
耀中国际学校	Yew Chung International School 
明穆宗	Ming Mu Zong 
藤堂高虎	Todo Takatora 
中国人民解放军空军军衔	Air Force Rank of the Chinese People's Liberation Army 
侄滨车站	Nephew station 
卢学洙	Lu Xuezhu 
列宁格勒-大诺夫哥罗德攻势	Leningrad-Veliky Novgorod offensive 
帕罗奥多研究中心	Palo Alto Research Center 
潮汕地区	Chaoshan area 
尼泊尔三星足球会	Nepal Samsung Football Club 
雅德维加_(波兰国王)	Jadwiga_ (King of Poland) 
伊斯兰阿萨德大学	Islamic Assad University 
布加勒斯特经济研究学院	Bucharest Institute of Economic Studies 
共和-社会党	Republican-Socialist Party 
西班牙国家航空	Iberia 
路径积分表述	Path integral expression 
乌鲁木齐地窝堡国际机场	Urumqi Diwopu International Airport 
鸡形目	Galliformes 
中共中央党校继续教育学院	School of Continuing Education of the Central Party School of the Communist Party of China 
esp音乐学院	esp conservatory 
纽波特_(怀特岛)	Newport_ (Isle of Wight) 
尼罗河河口海战	Battle of the Nile Estuary 
android历史版本	android historical version 
海军司库	Navy treasurer 
zeuhl	count 
卯木浩二	Koji Unoki 
维合部队	Peacekeeping force 
野岛一成	Nojima Issei 
素可泰王国	Kingdom of Sukhothai 
英国驻马来亚高级专员	British High Commissioner in Malaya 
弗兰克·希尔兹_(俄勒冈州政治人物)	Frank Shields_ (Oregon political figure) 
约翰娜_(黑森-达姆施塔特)	Johanna_ (Hesse-Darmstadt) 
阿道夫_(卢森堡大公)	Adolphe_ (Grand Duke of Luxembourg) 
爱情上路	Love on the road 
国立台湾大学	National Taiwan University 
英士国际商学院	Ince International Business School 
周旭明	Zhou Xuming 
大久保择生	Toshio Okubo 
洪孟启	Hong Mengqi 
前191年	191 years ago 
八度空间_(电视台)	Octave Space_ (TV station) 
萨克森统治者列表	List of rulers of Saxony 
点阵图图像编辑器	Bitmap image editor 
联合统计区	Union Statistical Area 
萨福克公爵夫人约克的伊丽莎白	Elizabeth of York, Duchess of Suffolk 
香港国际机场	Hongkong International Airport 
里贾纳	Regina 
风捎来的信	Letter from the wind 
勋一等	Xun Yi Deng 
党卫队国家安全部	SS Ministry of National Security 
洪荣狄	Hong Rongdi 
寿常在	Resident 
一千日圆纸币	One Thousand Yen Notes 
明治维新	the Meiji Reform 
皇家工程院	Royal Academy of Engineering 
奥德萨的墨妲	Moda of Odessa 
攻击中场	Attack midfielder 
幸田町	Kota Town 
永隆通宝	Wing Lung Tong Bao 
胡安二世_(阿拉贡)	Juan II_ (Aragon) 
岛津量子	Shimadzu Quantum 
新世界_(电视剧)	New World_(TV series) 
柬埔寨国家银行	National Bank of Cambodia 
中华人民共和国铁路运输	People's Republic of China Railway Transport 
混合理论	Hybrid theory 
奥费赖塞尔省	Oferessel 
阿莉亚·宾特·侯赛因公主	Princess Alia Bent Hussein 
阿拉贡的珊莎	Sansa of Aragon 
大潭山郊野公园	Tai Tam Shan Country Park 
软件包管理系统	Package management system 
太平洋联盟	Pacific Alliance 
曼城狂热	Manchester City Fever 
达祖丁	Dazudin 
摩纳哥王位继承人	Heir to the Monaco Throne 
伊里奥特弗八世	Iliott VIII 
联邦党	Federal Party 
刘玉圣	Liu Yusheng 
冯嘉奇	Feng Jiaqi 
吴文楚	Wu Wenchu 
nhk交响乐团	nhk symphony orchestra 
惯性上层助推器	Inertial upper booster 
神乐_(银魂)	Kagura_ (Gintama) 
坎伯韦尔和佩卡姆_(英国国会选区)	Camberwell and Peckham (UK Parliamentary District) 
莱卡特_(澳大利亚国会选区)	Leichart_ (Australian Parliamentary Constituency) 
.uy	.uy 
西班牙足球地区联赛	Spanish Football Regional League 
印第安纳大学布卢明顿分校	Indiana University Bloomington 
万大溪	Wan Daxi 
张继钢	Zhang Jigang 
尚卢·高达	Shanlu Gundam 
柏萨士邦	Persas 
樱桃小丸子	Chibi Maruko 
schizoanalysis	schizoanalysis 
世界大学联系网	World University Network 
遍历理论	Ergodic theory 
王宪奎	Wang Xiankui 
大型多人在线角色扮演游戏	Massively multiplayer online role-playing game 
让-马里·洛维尔	Jean-Marie Lowell 
山谷球场	Valley Course 
杨受成	Yang Shoucheng 
查士丁尼二世	Justinian II 
北广岛町	Kitahiroshima 
青衣运动场	Tsing Yi Sports Ground 
加里巴尔迪-罗密欧·安科内塔尼体育场	Garibaldi-Romeo Anconnetani Stadium 
日本歌谣曲	Japanese Songs 
拉惹端姑赛布特拉	Raja Tuanku Saiputra 
.ni	.you 
太原市滨河体育中心	Taiyuan City Binhe Sports Center 
奥斯丁·温特里	Austin Wintry 
刘蕊瑄	Liu Ruixuan 
飓风竞技俱乐部	Hurricane Athletic Club 
后协里	Houxili 
主保圣人	Patron saint 
桥本拳人	Hashimoto Boxer 
廉威米特大学法学院	Lian Weimit University School of Law 
清华大学电机工程与应用电子技术系	Department of Electrical Engineering and Applied Electronic Technology, Tsinghua University 
哲学博士	philosophy doctor 
朴三求	Park Sangu 
朝鲜领导人列表	List of North Korean leaders 
大山里	Dashanli 
wwk竞技场	wwk arena 
李奥纳德·迪克	Leonard Dick 
冼少玲	Xian Shaoling 
醇亲王	Prince Alcohol 
阿哈罗诺夫－玻姆效应	Akharonov-Bohm effect 
范国平	Fan Guoping 
何南铨	He Nanquan 
矢田晃一	Koichi Yada 
水野昌盛	Mizuno Masamori 
维格纳-埃卡特定理	Wigner-Ekatheorem 
共主邦联	Confederacy 
荷兰省督	Dutch Governor 
王嘉慧	Wang Jiahui 
双语路标	Bilingual road signs 
波兰四月宪法	Polish April Constitution 
传令嘉奖	Commendation 
永田由纪	Nagata Yuki 
史大桢	Shi Dazhen 
我们一定行！	We must do it! 
宫城县旗	Flag of Miyagi Prefecture 
秦皇岛市奥体中心体育场	Qinhuangdao Olympic Sports Center Stadium 
伊朗航天局	Iranian Space Agency 
南京理工大学	Nanjing University of Science and Technology 
明十三陵	Ming Tombs 
神田站_(东京都)	Kanda Station_(Tokyo) 
轻摇滚	Light rock 
克里姆林宫红场墓园	Kremlin Red Square Cemetery 
本洲里	Honshuri 
塔里巴尔杜斯_(塔拉瓦)	Taribaldos_ (Tarava) 
加州州立大学	California State University 
菲律宾省份列表	List of provinces in the Philippines 
志贵皇子	Prince Zhigui 
李晋乐	Li Jinle 
utc-10	utc-10 
城市经理	City manager 
费扬果	Feyango 
赤皮青冈	Chipi Qinggang 
重成俊弥	Toshiya Shigenari 
模拟游戏	Simulation game 
西罗曼语言	West Roman Language 
好难得	very rare 
新墨西哥州第一国会选区	New Mexico's first congressional district 
菲律宾行政区划	Administrative divisions of the Philippines 
威尔斯顿区_(昆士兰州)	Wilston District_ (Queensland) 
维德角埃斯库多	Cape Verde Escudo 
基兰特语支	Kilante 
釜山航空	Air Busan 
军功勋章	Medal of Military Merit 
天津泰达投资控股	Tianjin TEDA Investment Holdings 
拉绍德封	La Chaux-de-Fonds 
氢燃料电池引擎	Hydrogen fuel cell engine 
马奥里奇·阿德里巴贝内	Maorić Adribabene 
荷兰总务部	Dutch Ministry of General Affairs 
特木科体育俱乐部	Temuco Sports Club 
南非边境战争	South African Border War 
u17世界杯足球赛	u17 World Cup 
车臣共和国国旗	Flag of the Chechen Republic 
拿破仑二世	Napoleon II 
.mz	.mz 
艾佛敦山区_(昆士兰州)	Everton Mountain_(Queensland) 
来自星星的你	You from the stars 
基尔岩球场	Kil Rock Stadium 
中天娱乐台	Zhongtian Entertainment Channel 
爱丁堡王家学会	The Royal Society of Edinburgh 
廖永来	Liao Yonglai 
吉塞拉_(女修道院院长)	Gisela_ (The Convent Dean) 
因戈尔施塔特足球俱乐部	Ingolstadt Football Club 
榎本达也	Tatsuya Enomoto 
狼队足球俱乐部	Wolves Football Club 
法国17岁以下国家足球队	France under-17 national football team 
最终幻想xiii-2	Final Fantasy xiii-2 
北非谍影	Bourne Africa 
美空云雀	Misora Skylark 
影视公司	Television Company 
美国空军部长	Secretary of the Air Force 
尼日利亚20岁以下国家足球队	Nigeria Under-20 National Football Team 
弗朗茨·斐迪南大公	Grand Duke Franz Ferdinand 
威廉·拜伦，第五代拜伦男爵	William Byron, the fifth Baron Byron 
一党专政	One-party dictatorship 
维克托·伊曼纽尔三世	Victor Emmanuel III 
剑桥大学校监	Supervisor of Cambridge University 
毁灭全人类	Destroy all mankind 
.np	.e.g 
佩德罗·德·阿尔坎塔拉王子（格劳-帕拉亲王）	Prince Pedro de Alcantara (Prince Grau-Para) 
巴贝多中央银行	Central Bank of Barbados 
沙姆阵线	Sham Front 
徐爵民	Xu Juemin 
流体动力学	Hydrodynamics 
斯洛伐克共和国_(1939-1945)	Slovak Republic_(1939-1945) 
谭穗铭	Tan Suiming 
北欧理事会	Nordic council 
先锋派音乐	Avant-garde music 
织田信吉	Oda Shinyoshi 
康边停战协定	Kang Bien Armistice Agreement 
葛芬唱片	Geffen Records 
糊涂查理	Confused Charlie 
让-弗朗索瓦·伊齐	Jean-Francois Itzi 
阿尔巴尼亚王国	Kingdom of Albania 
川野直辉	Naoki Kawano 
音乐下载	music download 
沙勒罗瓦球场	Charleroi Stadium 
日本筝	Japanese koto 
电影演员	Movie actor 
伊斯坦布尔赛车场	Istanbul Motor Speedway 
法西斯大议会	Fascist council 
攻击直升机	Attack helicopter 
拉姆拉和约	Ramla Treaty 
板垣退助	Itagaki Resuke 
财政政策	Fiscal policy 
阿克斯胡斯城堡	Akershus Castle 
观点主义	Opinionism 
乾隆帝次女	Second daughter of Emperor Qianlong 
朱诺_(罗马神话)	Juno_ (Roman Mythology) 
卡托拿	Catona 
科尔多瓦学院足球俱乐部	Cordoba Academy Football Club 
黄海南道	South Huanghai Road 
珠海站	Zhuhai Railway Station 
犹太-伊拉克阿拉伯语	Jewish-Iraqi Arabic 
斯坦尼斯瓦夫·波尼亚托夫斯基_(1676-1762)	Stanislaw Poniatowski (1676-1762) 
国防大学_(中华民国)	National Defense University_(Republic of China) 
卡斯提亚-拉曼查	Castilla-La Mancha 
华登舒特足球俱乐部	Walden Schutt Football Club 
匈牙利国民议会	Hungarian national assembly 
韩美洵	Han Meixun 
珠光宝气_(电视剧)	Jewelry_ (TV series) 
clavinet	clavinet 
比林语	Biling 
背式键盘	Back keyboard 
国立台湾师范大学附属高级中学	High School Affiliated to National Taiwan Normal University 
东风11g型柴油机车	Dongfeng 11g diesel locomotive 
k/o纸制品制片公司	k/o paper production company 
里奇兰镇区_(哈维县)	Richland Township_(Harvey County) 
欧洲俄罗斯	Europe Russia 
上网本	Netbook 
一条忠香	Ichijo Tadaka 
联合发射同盟	United Launch Alliance 
梁再冰	Liang Zaibing 
意大利议会	Italian Parliament 
全俄罗斯苏维埃代表大会	All-russian soviet congress 
墨西哥银行	Bank of Mexico 
自旋统计定理	Spin statistics theorem 
玛嘉烈公主_(斯诺登伯爵夫人)	Princess Margaret_ (Countess Snowdon) 
日本之铁道站	Japan Railway Station 
肯特迈克尔王妃殿下	Her Royal Highness Princess Michael of Kent 
霍斯特·威塞尔之歌	Song of Horst Wiesel 
约翰·安德生，第一代韦弗利子爵	John Anderson, the first Viscount Waverley 
人声盒子	Vocal box 
cbs互动	cbs interaction 
lormont	lormont 
柏林市长	Mayor of Berlin 
格式塔学派	Gestalt School 
东京放送	Tokyo Broadcasting 
魏恭帝	Wei Gongdi 
ea-18g咆哮者电子作战机	ea-18g Growler electronic combat aircraft 
安地卡及巴布达独立日	Antigua and Barbuda Independence Day 
玛丽·瓦莱里女大公	Grand Duchess Marie Valerie 
皇学研究所	Imperial Academy 
slac国家加速器实验室	slac National Accelerator Laboratory 
重装机兵4_月光的歌姬	Heavy Pilot 4_ Moonlight Diva 
宣皇后	Queen Xuan 
张庆黎	Zhang Qingli 
荷兰独立宣言	Dutch Declaration of Independence 
刘惠如	Liu Huiru 
extraphone	extraphone 
橘郡风云集数列表	List of Orange County Fengyun Episodes 
特步国际	Xtep International 
保加利亚足球乙级联赛	Bulgarian Football Second Division 
多明宫	Dominic Palace 
里士满_(维吉尼亚州)	Richmond_ (Virginia) 
呼和浩特体育局	Hohhot Sports Bureau 
开城特级市	Kaesong Super City 
保利耕辅	Kosuke Hori 
中立议员	Neutral Member 
赵永洪	Zhao Yonghong 
东姑安南	Tunku Annan 
阿莉亚·宾特·海珊公主	Princess Alia Bent Haysanne 
和硕和顺公主	Princess and princess 
莱佛士书院	Raffles Institution 
聂瑞平	Nie Ruiping 
北岛康介	Kitajima Kosuke 
国家能源局	National Energy Board 
姚引良	Yao Yinliang 
后金属	Post metal 
俞大维	Yu Dawei 
比科尔区	Bicol 
沙一博	Sha Yibo 
乌克兰国家安全局	National Security Service of Ukraine 
高木善朗	Takagi Yoshiro 
标致雪铁龙pf1平台	Peugeot Citroen pf1 platform 
坦克雷多·内维斯	Tancredo Neves 
阿尔汉格尔斯克教堂	Arkhangelsk church 
新加坡布政司	Chief Secretary of Singapore 
英联邦关系大臣	Secretary of State for Commonwealth Relations 
蒙古足球中心	Mongolia Football Center 
古典大学	Classical University 
日本民主党执行部	Executive Department of the Democratic Party of Japan 
库尔德斯坦社群团体	Kurdistan Community Group 
.ao	.Oh 
缅甸总理	Prime Minister of Myanmar 
耶律齐	Yeluzi 
爱德华·本廷克勋爵	Lord Edward Bentinck 
昭莫多之战	Battle of Zhaomodo 
拾点音乐	Pick up some music 
加藤清史郎	Seishiro Kato 
演化生物学	Evolutionary biology 
采昌国际多媒体	Caichang International Multimedia 
神探两个半又二分之一之学校有鬼	Detective two and a half and one half of the school has ghosts 
柬埔寨国家元首列表	List of Cambodian Heads of State 
查哥里	Chagori 
刘玉山	Liu Yushan 
贺军翔	He Junxiang 
后弗萨克文	Post-Fosak 
ammochostos	ammochostos 
变质岩	Metamorphic rock 
伊朗副总统	Vice President of Iran 
宪政革命	Constitutional revolution 
耶稣圣名主教座堂	Cathedral of the Holy Name of Jesus 
中谷诚一	Shoichi Nakatani 
兄弟姊妹	brothers and sisters 
东广岛市	Higashihiroshima City 
莫汤保	Mo Tangbao 
kandıra	trick 
阿萨巴斯卡-埃雅克语族	Athabasca-Eyak 
大韩民国第1步兵师	1st Infantry Division of the Republic of Korea 
文艺复兴绘画	Renaissance painting 
夏威夷元	Hawaiian Dollar 
废止核电	Abolish nuclear power 
底特律都会韦恩县机场	Detroit Metropolitan Wayne County Airport 
常熟话	Changshu 
俄罗斯足球甲级联赛	Russian Football League 
神奈川县旗	Flag of Kanagawa Prefecture 
商业经济学	Business economics 
喻虹渊	Yu Hongyuan 
石井启一	Ishii Keiichi 
财经部（柬埔寨）	Ministry of Finance (Cambodia) 
小泉朋英	Tomohide Koizumi 
住棚节	Sukkot 
变频器	Frequency converter 
普通潜鸟	Common loon 
贝托尔德_(巴登)	Berthold_ (Baden) 
韩明淑	Han Mingshu 
杉崎由绮琉	Sugisaki Yukiru 
李智雅	Li Zhiya 
谢尔盖·索科洛夫（元帅）	Sergei Sokolov (Marshal) 
伯克利县_(南卡罗来纳州)	Berkeley County_ (South Carolina) 
秘鲁足球乙级联赛	Peru Football League Two 
瓦尔登_(科罗拉多州)	Walden_ (Colorado) 
潘惠子	Pan Huizi 
中华人民共和国外交部发言人	Spokesperson of the Ministry of Foreign Affairs of the People's Republic of China 
贵州省新体育场	Guizhou New Stadium 
公民自由意志主义	Civil libertarianism 
伊拉克总理	Prime Minister of Iraq 
让-克里斯托福·布利恩	Jean-Christopher Brian 
河滨县_(加利福尼亚州)	Riverside County_ (California) 
杨加	Yang Jia 
叙利亚镑	Syrian Pound 
游戏配乐	Game soundtrack 
韦姓	Wei Surname 
九宝石勋章	Nine Jewels Medal 
仁和里_(仁武区)	Renheli_(Renwu District) 
北安普顿大学	University of Northampton 
校园摇滚	Campus rock 
西北高加索语系	Northwestern Caucasus 
美国演员工会奖最佳男主角	Screen Actors Guild Awards for Best Actor 
百年遗产	Centennial Legacy 
东孟-高棉语支	Dongmeng-Khmer branch 
瑞典副首相	Deputy Prime Minister of Sweden 
图尔的阿德莱德	Adelaide in Tours 
民族共产主义	National communism 
伦敦塔总管	Tower of London Explorer 
加奥拿斯	Gaonas 
中国大陆	China Mainland 
苏格兰中尉区	Lieutenant District of Scotland 
柏油脚跟	Tar Heel 
中视经典台	China Television Classic 
杜玉波	Du Yubo 
天天有乐町	Everyday Yurakucho 
徳川圀顺	Tokugawa Kuniyuki 
.si	.four 
哈夫纳夫约杜尔体操俱乐部	Hafnarfjordur Gymnastics Club 
英国皇家天文学会	Royal Astronomical Society 
基督工党	Christian Labor Party 
后朋克	Post-punk 
波兰王国总督列表	List of Governors of the Kingdom of Poland 
后乡里	Houxiangli 
河床竞技俱乐部	River Plate Athletics Club 
索末菲-柯色耳位移定律	Sommerfeld-Coseer Displacement Law 
firewind	firewind 
西奈半岛打撃武装分子行动	Operation Sinai against militants 
中非洲足球总会联会	Central African Football Association 
盐谷瞬	Shiotani 
西西里晚祷	Sicilian Vespers 
中国中央电视台世界地理频道	China Central Television World Geography Channel 
多人连线游戏	Multiplayer online game 
环境运输及区域大臣	Minister of Environment, Transport and Regions 
文学批评	Literary criticism 
爱德华王子_(威塞克斯伯爵)	Prince Edward_ (Earl of Wessex) 
王华麟	Wang Hualin 
国防科学技术大学	National University of Defense Technology 
葡萄牙总理列表	List of Prime Ministers of Portugal 
查理·德·瓦卢瓦昂古莱姆公爵	Duke Charlie de Valois Angoulême 
新传媒高清5频道	New Media HD Channel 5 
中国核工业集团公司	China National Nuclear Corporation 
弗雷德里克·巴斯夏	Frederick Bastiat 
阪口梦穗	Mizuho Sakaguchi 
艾贾徐体育会	Ai Jiaxu Sports Club 
旧金山湾区捷运系统	San Francisco Bay Area Rapid Transit System 
好莱坞唱片	Hollywood Records 
曼恩伯爵领	Earl of Mann 
苏沃洛夫勋章	Suvorov Medal 
造王者_(电视剧)	King Maker_ (TV series) 
巴斯克地区旗帜	Flag of the Basque Country 
最大似然估计	Maximum likelihood estimation 
石原里纱	Risa Ishihara 
克里语音节文字	Kerry syllable text 
伊萨卡_(纽约州)	Ithaca_ (New York State) 
澳大利亚反对党领袖列表	List of Australian opposition leaders 
游辉凯	You Huikai 
国际足联国家代码列表	List of FIFA country codes 
巴拉克宰王朝	Balakzai Dynasty 
斯洛伐克总理	Prime Minister of Slovakia 
世界气象组织	World Meteorological Organization 
湖南省人民体育中心	Hunan Provincial People's Sports Center 
石原慎一	Shinichi Ishihara 
波兰瑞典战争_(1620年-1622年)	Polish-Swedish War_ (1620-1622) 
河北精英足球俱乐部	Hebei Elite Football Club 
海南话白话字	Hainanese vernacular characters 
古林将太	Shota Kobayashi 
东方和非洲研究学院	School of Oriental and African Studies 
澳洲圣公会	Australian Anglican Church 
于再清	Yu Zaiqing 
印度联合会杯	Confederations Cup of India 
广州正一	Guangzhou Zhengyi 
奇迹时代	Age of miracles 
赤星政尚	Masanao Akahoshi 
元上都	Yuan Shangdu 
塞浦路斯足球协会	Cyprus Football Association 
姜-泰勒效应	Ginger-Taylor effect 
aerozine	aerozine 
咸海-里海语支	Aral-Caspian 
威廉二世足球俱乐部	William II Football Club 
查尔斯·康沃利斯，第二代康沃利斯侯爵	Charles Cornwallis, the second Marquis of Cornwallis 
三河岛站	Sanhedao Station 
王蒙徽	Wang Menghui 
马英九政府	Ma Ying-jeou government 
江户手球歌ⅱ	Edo Handball Song ⅱ 
中华人民共和国海关总署	General Administration of Customs of the People's Republic of China 
马来西亚宗教	Religion in Malaysia 
教宗杜努	Pope Dunou 
松井谦弥	Matsui Kenya 
德国国防部	German Ministry of Defense 
香港伤残人士体育协会	Hong Kong Sports Association for the Disabled 
义大利外交部长	Minister of Foreign Affairs of Italy 
宜妃_(康熙帝)	Concubine Yi_(Kangxi Emperor) 
美国远征军	American Expeditionary Force 
老挝建国阵线	Lao National Front 
马中骏	Ma Zhongjun 
上古日语	Ancient Japanese 
仓田英之	Hideyuki Kurata 
勒内·沙龙	Rene Sharon 
g5超级精英大学	g5 super elite university 
宗教保守主义	Religious conservatism 
河南建业	Henan Jianye 
费米国立加速器实验室	Fermi National Accelerator Laboratory 
终极动员令_(1995年游戏)	Ultimate Mobilization Order_ (1995 game) 
肥婆奶奶扭计媳	Fat grandmother 
圣若瑟英文中学	St. Joseph's English Secondary School 
美国航空中心球馆	American Airlines Center Arena 
默多克镇区_(巴特勒县)	Murdoch Township_(Butler County) 
岛屿唱片	Island record 
斯坦默的佩勒姆男爵	Baron Pelham of Steinmer 
臼井仁志	Hitoshi Usui 
美国海军陆战队司令	Commander of the U.S. Marine Corps 
罗海晴	Luo Haiqing 
南部国务卿	Southern Secretary of State 
成田国际机场	Narita International Airport 
midi键盘	midi keyboard 
德国元帅列表	List of German Marshals 
第32届香港电影金像奖	The 32nd Hong Kong Film Awards 
韦圣心	Wei Shengxin 
第1骑兵师	1st Cavalry Division 
希尔斯波罗县_(新罕布什尔州)	Hillsboro County_ (New Hampshire) 
\ufeff宋龙	\ufeff Song Long 
那珂川町_(福冈县)	Nakagawa Town_(Fukuoka Prefecture) 
多多马	Dodoma 
家庭主妇	housewife 
中国邮政储蓄银行	China Postal Savings Bank 
曾伟	Zeng Wei 
廖启智	Liao Qizhi 
七剑2	Seven Swords 2 
第二次波尔战争	Second Boer War 
葡萄牙足球丙级联赛	Portuguese Football League C 
中央军事委员会科学技术委员会	Science and Technology Committee of the Central Military Commission 
诺基亚高端技术	Nokia high-end technology 
白仓政司	Masashi Shirahiro 
mp4	mp4 
海伦芬体育俱乐部	Heerenveen Sports Club 
民主行动党秘书长	Secretary-General of the Democratic Action Party 
温布莱球场	Wembley Stadium 
庇护二世	Pius II 
l.j.p.m._(leon)_frissen	l.j.p.m._(leon)_frissen 
西安西关机场	Xi'an Xiguan Airport 
铃木大地	Suzuki Land 
卢津定理	Luzin's Theorem 
刘嘉壁	Liu Jiabi 
米契尔顿_(昆士兰州)	Mitchelton_ (Queensland) 
韶山冲毛泽东同志故居	Shaoshan Chong Former Residence of Comrade Mao Zedong 
牙买加总督	Governor of Jamaica 
阿拉伯解放运动	Arab liberation movement 
心星的泪光	Tears of Heart Star 
.fi	.be 
塞内帕河战争	Senepah War 
市郊铁路	Suburban railway 
苏联成立条约	Treaty of Formation of the Soviet Union 
新曼谷国际机场	New Bangkok International Airport 
德国u18足球代表队	Germany U18 National Football Team 
吠檀多	Vedanta 
潘杰_(篮球经理)	Pan Jie_(Basketball Manager) 
塞尔维亚历史	Serbian history 
梅登黑德_(英国国会选区)	Maidenhead_(British Parliamentary District) 
堤格雷竞技俱乐部	Tigre Athletic Club 
西班牙邮递区号	Spain postal code 
西班牙23岁以下国家足球队	Spain U23 National Football Team 
染矢一树	Someya Kazuki 
贾邱	Jia Qiu 
a1大奖赛	a1 Grand Prix 
第一次梵蒂冈大公会议	First Vatican Conference 
山田信道	Yamada Nobumichi 
巴雷罗斯球场	Barreiros Stadium 
摩西湖市_(华盛顿州)	Moses Lake City_ (Washington State) 
太空牛仔_(音乐家)	Space Cowboy_ (musician) 
市民银行球场	Citizens Bank Stadium 
亚特兰大勇士	Atlanta Warriors 
隅泽克之	Sumize Kezhi 
詹姆斯·弗格森爵士，第六代从男爵	Sir James Ferguson, sixth generation from Baron 
第25军_(日本陆军)	25th Corps_ (Japanese Army) 
阿盖尔公爵	Duke of Argyll 
武汉宏兴足球俱乐部	Wuhan Hongxing Football Club 
埃列娜公主_(罗马尼亚)	Princess Elena_ (Romania) 
沙地阿拉伯足球协会	Saudi Arabia Football Association 
张雷_(足球裁判)	Zhang Lei_ (Football Referee) 
津田琢磨	Tsuda Takuma 
日本七叶树	Horse chestnut 
非执行董事	Non-Executive Director 
裴梦蝶	Pei Mengdie 
环星娱乐	Huanxing Entertainment 
1931年西敏法令	Westminster Act 1931 
兰州西站	Lanzhou West Railway Station 
我孙子市	My grandson city 
西武铁道	Seibu Railway 
泰华拿	Thai Huana 
英式金属新浪潮	New Wave of British Metal 
松田弘	Hiroshi Matsuda 
路易斯·蒙巴顿，第一代缅甸的蒙巴顿伯爵	Louis Mountbatten, the first Earl of Mountbatten of Myanmar 
南美以美大学	South American University of America 
都督部	Governor's Department 
王睿_(台湾足球运动员)	Wang Rui_ (Taiwan Football Player) 
施浩然_(助理编导)	Shi Haoran_(Assistant Choreographer) 
布鲁内尔大学	Brunel University 
瓜地马拉银行	Bank of Guatemala 
加利福尼亚州州参议员	California State Senator 
法国足球丙级联赛	French Football League C 
铜锤手	Copper Hammer 
地理物理学	Geophysics 
武良布枝	Nunoe Mura 
赵孟𫖯	Zhao Meng𫖯 
凌伟光	Ling Weiguang 
陆大章	Lu Dazhang 
英国君主配偶列表	List of spouses of British monarchs 
它山堰	Tashanyan 
叶梨信行	Nobuyuki Kanonashi 
贺毅辉	He Yihui 
nba年度最佳新秀	NBA Rookie of the Year 
陈振川	Chen Zhenchuan 
放羊的星星	Sheep star 
峇吉里	Bhagiri 
捷克斯洛伐克第一军团	Czechoslovak First Army 
阿尔巴尼亚总理列表	List of Prime Ministers of Albania 
四川隆发足球俱乐部	Sichuan Longfa Football Club 
佛山高明第一中学	Foshan Gaoming First Middle School 
成田良悟	Ryogo Narita 
长沙金德	Changsha Jinde 
麦杜渥区_(昆士兰州)	McDowell District_ (Queensland) 
范登堡空军基地2号航天发射复合体	Vandenberg Air Force Base 2 Space Launch Complex 
嘶吼唱腔	Roar 
剑桥伯爵	Earl of Cambridge 
.in	.in 
bahçeköy	Bahçeköy 
西班牙16岁以下国家足球队	Spain Under-16 National Football Team 
相信音乐	Believe in music 
越智通雄	Michio Ochi 
最游记	Zuiyouji 
西班牙哈布斯堡王朝	Habsburgs of Spain 
西北工业大学	Northwestern Polytechnical University 
长征二号f运载火箭	Long March 2 f carrier rocket 
勒期人	Leche 
铃置洋孝	Suzuki Yotaka 
池田圭	Ikeda Kei 
火线猎杀2	Hunting 2 
全国人民代表大会常务委员会秘书长	Secretary General of the Standing Committee of the National People's Congress 
市场姬	Market Hime 
批判理论	Critical theory 
伊是名村	Yi Shi Ming Village 
克娄巴特拉·塞勒涅二世	Cleopatra Selene II 
哥斯大黎加大学	University of Costa Rica 
姆拉达-博莱斯拉夫	Mlada Boleslav 
维克多·奥宾拿	Victor Obina 
东海地方	East China Sea 
翡翠名曲汇	Jade Famous Songs 
新加坡外交部	Singapore Ministry of Foreign Affairs 
行星科学	Planetary science 
悲梦之歌/我俩…	Song of Sad Dreams/We... 
贝尔格大公国	Grand Duchy of Berg 
希拉克略_(君士坦斯二世之子)	Heraclius_ (son of Constantine II) 
飞鸟时代	Asuka Age 
郑雨盛	Zheng Yusheng 
波莫纳加州州立理工大学	California State Polytechnic University, Pomona 
古典时代	Classical age 
贝塔尔耶路撒冷足球俱乐部	Betar Jerusalem Football Club 
印度帝国勋章	Order of the Indian Empire 
德国联邦内政部	German Federal Ministry of the Interior 
我是歌手_(第一季)	I am a singer_ (season one) 
伊斯兰黄金时代	Islamic golden age 
中华里_(仁武区)	Zhonghuali_(Renwu District) 
冰岛航空	Icelandair 
ac-130空中炮艇	ac-130 aerial gunboat 
好汉两个半_(第七季)	Two and a half heroes_ (season 7) 
中国人民解放军陆军	Chinese People's Liberation Army Army 
暗黑血统ii	Darksiders II 
金丝手套	Gold gloves 
天津市耀华中学	Tianjin Yew Wah Middle School 
墨西哥独立战争	Mexican War of Independence 
国家语言文字工作委员会	National Language Working Committee 
台北市立石牌国民中学	Taipei Shipai National High School 
捷克独立日	Czech Independence Day 
南什列斯威选民联盟	South Shlesway Voters League 
中国共产党第十二届中央委员会	The 12th Central Committee of the Communist Party of China 
反修正主义	Anti-revisionism 
爱尔兰足球代表乙队	Irish Football Team B 
加纳20岁以下国家足球队	Ghana Under-20 National Football Team 
多多良敦斗	Tatara 
魁北克音乐	Quebec Music 
国民政府主席	Chairman of the National Government 
代代木神园町	Yoyogi Jinencho 
