桥本由香利	Hashimoto Yukari 
法兰西的罗贝尔	Robert of France 
圣阿尔坎杰洛-迪罗马涅	Santarcangelo di Romagna 
张铖	Zhang Cheng 
九江长江公路大桥	Jiujiang Yangtze River Highway Bridge 
葛山刚士	Geshan Takeshi 
英国军团_(1778年)	British Legion_ (1778) 
公立学院	Public school 
李滉	Li Huang 
gothabilly	gothabilly 
新北投支线	Xinbeitou Branch 
上海滩_(电视剧)	Shanghai Beach_(TV series) 
二元制君主立宪制	Dualistic constitutional monarchy 
核战略司令部	Nuclear Strategy Command 
李恩诚	Li Encheng 
殷一璀	Yin Yicui 
1906年俄罗斯宪法	Russian Constitution of 1906 
大河原邦男	Kunio Okawara 
普朗克黑体辐射定律	Planck's law of blackbody radiation 
一级方程式赛车致命事故列表	List of fatal accidents in Formula One 
沈吕巡	Sinking tour 
早安少女组。全b面单曲选辑	Morning Musume Group. Full b-side single selection 
最后的战役	The final battle 
国土交通副大臣	Deputy Minister of Land, Infrastructure and Transport 
乐器摇滚	Musical instrument rock 
竹中平藏	Heizo Takenaka 
中国基督教新教	Chinese Protestant Christianity 
非洲联赛冠军杯	African League Champions Cup 
跟随我	follow me 
罗香兰	Luo Xianglan 
福井县民歌	Folk Songs of Fukui Prefecture 
张睿_(女子足球运动员)	Zhang Rui_ (female football player) 
王国生_(湖北省长)	Wang Guosheng_(Governor of Hubei) 
大江户线	Oedo Line 
昭徳王	King Shotoku 
克里斯蒂安·奥古斯特_(荷尔斯泰因-戈托普)	Christian August_ (Holstein-Gotop) 
弗朗索瓦-亨利·皮诺	Francois-Henri Pinault 
巴西行政区划	Administrative divisions of Brazil 
印度储备银行	Reserve Bank of India 
萨莫耶德语族	Samoyed German 
爱丽丝公主_(阿斯隆伯爵夫人)	Princess Alice_ (Countess of Athlone) 
第八届全国人民代表大会常务委员会	Standing Committee of the Eighth National People's Congress 
铃木博文_(动画师)	Suzuki blog post_(animator) 
冲绳县民歌	Folk Songs of Okinawa Prefecture 
结婚定理	Marriage theorem 
尼斯蔚蓝海岸机场	Nice Côte d'Azur Airport 
法国国家太空研究中心	French National Space Research Center 
华盛顿与杰斐逊学院	Washington and Jefferson College 
普莱克斯学派	Praxair School 
北美乔柏	North American Job 
第二代索默塞特公爵埃德蒙·蒲福	Edmund Beaufort, Duke of Somerset 
全启相	Quan Qixiang 
刘卓辉	Liu Zhuohui 
洪都拉斯甲组足球联赛	Honduras First Division Football League 
终极动员令_红色警戒2：尤里的复仇	Ultimate Mobilization Order_Red Alert 2: Yuri’s Revenge 
柏德逊站	Paterson Station 
马夫拉体育会	Mafra Sports Club 
梁健恒	Liang Jianheng 
加贺美翔	Kaga Misho 
首尔市政府	Seoul Metropolitan Government 
上天梯	Go up the ladder 
中国奥林匹克委员会	Chinese Olympic Committee 
莫斯科语言学派	Moscow School of Linguistics 
皇家橡树站	Royal Oak Station 
柏林城市宫	Berlin City Palace 
那旁高卢行省	Gaul Province 
林保全	Lin Baoquan 
.kn	.kn 
公园街教堂	Park Street Church 
高卢伊比利亚语支	Gaul Iberian 
清河区_(淮安市)	Qinghe District_(Huai'an City) 
罗明(央视副台长)	Luo Ming (Deputy Director of CCTV) 
中山诗央里	Zhongshan Shiyangli 
东伊朗语支	East Iranian branch 
戴维斯_(加利福尼亚州)	Davis_ (California) 
铁道第三勘察设计院	The Third Railway Survey and Design Institute 
小碧潭站	Xiaobitan Station 
莱茵能源体育场	Rhein Energy Stadium 
九州帝国大学	Kyushu Imperial University 
洛克菲勒大学	Rockefeller University 
上野国	Kozuke 
普雷斯顿县_(西弗吉尼亚州)	Preston County_ (West Virginia) 
庆安公主	Princess Qing'an 
安德烈-路易·德比耶纳	André-Louis De Bienne 
全日空控股	All Nippon Airways Holdings 
努瓦永	Noyon 
开心魔法	Happy magic 
p-3aew&c蓝色哨兵式空中预警暨管制机	p-3aew&c blue sentry airborne early warning and control aircraft 
西索瓦·瓦差亚冯	Sisowath Vachayavon 
川崎龙介	Ryusuke Kawasaki 
英联邦王国	Commonwealth Kingdom 
福冈机场车站	Fukuoka Airport Station 
湖南省县级以上行政区面积列表	List of administrative areas above the county level in Hunan Province 
浦野一美	Kazumi Urano 
法政大学	Hosei University 
阿斯特拉足球俱乐部	Astra Football Club 
石川智晶	Ishikawa Zhijing 
中华民国国军军阶	Military rank of the Republic of China 
伦敦律师学院法学院	London Law School School of Law 
大勋位菊花章颈饰	Grand Order Chrysanthemum Necklace 
俄国社会民主工党	Russian Social Democratic Labor Party 
瓦伦丁公爵	Duke of Valentine 
舒安巴治拿	Shuan Bajina 
圣彼得堡民航国立大学	St. Petersburg State University of Civil Aviation 
剑与魔法	Sword and magic 
圣奥尔本斯大教堂	St Albans Cathedral 
民族联盟_(拉脱维亚)	National League_(Latvia) 
法本公司	Farben 
以色列国会	Israel Congress 
阿基坦公爵领地	Duchy of Aquitaine 
公民行动党	Citizen Action Party 
俄勒冈州第三国会选区	Oregon's third congressional district 
结城友奈是勇者	Yuki Yuna is a brave 
张鼎丞	Zhang Dingcheng 
legea	the law 
小野博信	Hiroshin Ono 
最终幻想iii	Final Fantasy III 
澳洲时间	Australia time 
阿尤西国师	Ayusi National Division 
阮文雪	Ruan Wenxue 
张璐劲	Zhang Lujin 
珀金奖章	Perkin Medal 
张晓容	Zhang Xiaorong 
隋唐演义_(2013年电视剧)	Sui and Tang Dynasties_ (2013 TV series) 
.al	.to the 
卢顿市政府大楼	Luton City Hall 
ウェリントン	Wellington 
美国第七集团军	US Seventh Army 
中途岛海战	Battle of Midway 
amiina	amiina 
中共对外宣传工作办公室	CPC Publicity Office 
daimond	diamond 
怀雅逊大学	Ryerson University 
维珍航空	Virgin Atlantic 
搜下留情	Search for mercy 
爱情小说	Romance novel 
阿瓦伊足球俱乐部	Awai Football Club 
李昂_(足球运动员)	Li Ang_ (football player) 
万代南梦宫	Bandai Namco 
纳瓦拉的贝伦加丽亚	Belengaria of Navarra 
孟买总督	Governor of Mumbai 
三军总长	Commander of the armed forces 
陈瑞杰	Chen Ruijie 
苏拉威西岛	Sulawesi 
正田酱油群马体育场	Masada Gunma Stadium 
中闪米特诸语	Middle Semitic 
曼谷联足球会	Bangkok United Football Club 
半点心	Half snack 
北洋军阀	Beiyang Warlord 
黄现璠	Huang Xianpan 
艾米利亚-罗马涅	Emilia Romagna 
布卢瓦王朝	House of Blois 
全国人民政权代表大会	National Congress of People's Power 
.mf	.mf 
邵维铭	Shao Weiming 
赫拉德茨-克拉洛韦州	Hradec Králové 
路易五世_(西法兰克)	Louis V_ (West Franco) 
共产党联盟－苏联共产党	Communist Party-Communist Party of the Soviet Union 
德铁网络	Deutsche Bahn 
布鲁塞尔足球俱乐部	Brussels Football Club 
坚尼_(英国货币)	Guinea_ (UK currency) 
中二病也想谈恋爱！	I also want to fall in love with Secondary II disease! 
第一神拳	Godly Punch 
哈伊杜克足球俱乐部	Hayduk Football Club 
格鲁吉亚字母	Georgian alphabet 
汉弗莱_(格洛斯特公爵)	Humphrey_ (Duke of Gloucester) 
南锡足球俱乐部	Nancy Football Club 
芬兰人党	Finn Party 
国际足球联合会主席列表	List of Presidents of the International Football Federation 
小牧交流道	Komaki Interchange 
越南人民军总参谋部	General Staff of the People's Army of Vietnam 
马斯科吉_(奥克拉荷马州)	Muskogee_ (Oklahoma) 
巴布亚企鹅	Gentoo Penguin 
美洲豹攻击机	Jaguar attack aircraft 
京那巴鲁山	Mount Kinabalu 
查谟-克什米尔邦首席部长列表	List of Chief Ministers of Jammu and Kashmir 
苏丹沙拉夫丁	Sultan Sharafuddin 
人生多美丽	Life is beautiful 
皇家化学学院	Royal College of Chemistry 
第五次俄土战争	The fifth Russian-Turkish war 
武吉知马	Bukit Timah 
空军上将	Air Force Admiral 
常陆那珂市	Hitachi Naka City 
李荣新	Li Rongxin 
尤尔马拉足球俱乐部	Jurmala Football Club 
体育用品	Sporting goods 
罗钧满	Luo Junman 
龙猫	Totoro 
第二次彼得斯堡战役	Second Battle of Petersburg 
帕斯卡的赌注	Pascal's bet 
文迪兹约克	Wendiz York 
石原克哉	Katsuya Ishihara 
汉语方言	Chinese dialect 
池上伸治	Shinji Ikegami 
内乡县衙	Neixiang County Office 
大伦敦政府	Greater London Government 
低地东库希特语支	Lowland East Kushitian 
特伦顿_(新泽西州)	Trenton_(New Jersey) 
波兰王国	Kingdom of Poland 
光荣特库摩控股	Koei Tecmo Holdings 
普拉克明堂区_(路易斯安那州)	Prakmin Parish_ (Louisiana) 
答里也忒迷失	The answer is also lost 
北京市第四中学	Beijing Fourth Middle School 
hardbag	hardbag 
张景惠	Zhang Jinghui 
chumbinho	pellet 
大岛僚太	Ryota Oshima 
西南斯拉夫亚语支	Southwest Slavic 
火炉壁的女孩	Girl by the stove wall 
樱井政博	Masahiro Sakurai 
模拟城镇	Simulated town 
安嫔_(嘉庆帝)	An Bin_ (Jiaqing Emperor) 
联合国军	United Nations Army 
迷失角色列表	List of lost characters 
星际大战：原力释放	Star Wars: The Force Unleashed 
彭越	Peng Yue 
米尔扎·穆罕默德-阿里汗	Mirza Mohamed-Ali Khan 
青岛颐中体育中心	Qingdao Yizhong Sports Center 
爸爸闭翳	Dad 
台湾数位光讯科技集团	Taiwan Digital Optical Technology Group 
尼斯塔德条约	Treaty of Nystad 
庆答应	Qingyue 
约翰·柏克莱，第五代斯特拉顿的柏克莱男爵	John Berkeley, Baron Berkeley, Fifth Generation Stratton 
王洛勇	Wang Luoyong 
小川直毅	Ogawa Naotake 
钢琴蓝调	Piano blues 
并发计算	Concurrent computing 
宾夕法尼亚州各县列表	List of counties in Pennsylvania 
意大利天主教教区列表	List of Catholic Dioceses in Italy 
匈牙利足球乙级联赛	Hungary Football League Two 
孛儿只斤氏	Peer Zhijinshi 
芬兰－乌戈尔语族	Finnish-Ugric 
何诚渊	He Chengyuan 
第5航空舰队_(德国空军)	5th Air Fleet_ (German Air Force) 
武汉商学院	Wuhan Business School 
吕晓霖	Lu Xiaolin 
织田信正	Oda Shinmasa 
能美市	Nomi City 
nifon	Niphon 
中坜车站	Zhongli Station 
拉卡战斗	Raqqa fight 
印度国徽	National Emblem of India 
台拉维夫大学	Tel Aviv University 
美因茨05二队	Mainz 05 Second Team 
索非亚大学	Sofia University 
望月奈奈	Nana Mochizuki 
file:tang_daizong.jpg	file:Tang_Dai Zong.jpg 
中东路事件	Middle East Road Incident 
藤田阳一	Fujita Yoichi 
小川大贵	Ogawa Daigui 
东海大学付属望星高等学校	Tokai University Fu is Wangxing High School 
彭铠立	Peng Kaili 
美国民主党总统候选人	U.S. Democratic presidential candidate 
奥古斯特王子(科哈里亲王)	Prince August (Prince Kohari) 
梅尔罗斯的沃尔特奥夫	Walter Off of Melrose 
皮埃尔·莫鲁瓦球场	Pierre Mauroy Stadium 
西部地下迷幻摇滚	West Underground Psychedelic Rock 
香川县旗	Flag of Kagawa 
nba中部赛区	NBA Central Division 
白沙黎族自治县	Baisha Li Autonomous County 
勇者斗恶龙_英雄集结_暗龙与世界树之城	Dragon Quest_Heroes Assembly_Dark Dragon and World Tree City 
美国偶像_(第十季)	American Idol_ (Tenth Season) 
黄龙体育中心	Huanglong Sports Center 
鼎山长江大桥	Dingshan Yangtze River Bridge 
新传媒制作（马来西亚）有限公司	New Media Production (Malaysia) Sdn Bhd 
上海传奇	Shanghai Legend 
华丽朋克	Gorgeous punk 
软骨鱼纲	Chondrichthyes 
sh-60直升机	sh-60 helicopter 
默尔特-摩泽尔省	Meurthe-Moselle 
唱片公司老板	Record company owner 
山野犹	Yamano Yu 
亨利·佩蒂-费茨莫里斯，第三代兰斯多恩侯爵	Henry Petty-Fitzmorris, third Marquis of Lansdowne 
巴里托语支	Barito language branch 
圣魔之血	Holy Demon Blood 
太田房江	Fusae Ohta 
无尽的天空	Endless sky 
钱大康	Qian Dakang 
上国料萌衣	Shangguo Mengyi 
美索不达米亚阿拉伯语	Mesopotamian Arabic 
.va	.We 
最终幻想xi	Final fantasy xi 
千叶市苏我球场	Chiba City Suga Stadium 
萱野长修	Kayano Gonbe 
高雄市政府捷运工程局	Kaohsiung City Government MRT Engineering Bureau 
冒险小说	Adventure novel 
市立体育场_(巴尼亚卢卡)	Municipal Stadium_ (Bania Luka) 
潘国山	Pan Guoshan 
南方集团军	Army South 
中国人民解放军后勤工程学院	Chinese People's Liberation Army Logistics Engineering College 
接力出版社	Relay Press 
file:koei_logo.gif	file:koei_logo.gif 
老挝人民革命党中央委员会	Lao People's Revolutionary Party Central Committee 
哈斯伍德电影公司	Haswood Film Company 
威廉·皮尔，第三代皮尔伯爵	William Peel, the third Earl of Peel 
外赫布里底群岛	Outer Hebrides 
帕差拉吉帝雅帕公主	Princess Phracha Rajdi Yapa 
台中市私立新民高级中学	Taichung City Private Xinmin Senior High School 
内湖省	Neihu 
波斯尼亚和黑塞哥维那政区	District of Bosnia and Herzegovina 
网页浏览器	browser 
赤都松赞	Chidu Songzan 
国际政治	International Politics 
尼布甲尼撒二世	Nebuchadnezzar II 
saminathan_rajendran	Sameenath_Rajendran 
昆明长水国际机场	Kunming Changshui International Airport 
伏见宫贞教亲王	Prince of Fushimi Palace 
辛普森一家大电影	The Simpsons Movie 
德国联邦铁路	German Federal Railways 
h8/300	h8/300 
苏佩尔加圣殿	Sanctuary of Superga 
瑞士历史	Swiss history 
科力士·韦德加	Kiris Widgar 
奶黄唱片	Custard Records 
尼日利亚17岁以下国家足球队	Nigeria Under-17 National Football Team 
墨西哥合众国_(1824–1864)	United Mexican States_(1824–1864) 
比什奴普莱利亚－曼尼浦尔语	Bishnu Prelia-Manipur 
美国中西部	Midwestern United States 
阿萨夫·贾赫七世	Assaf Jah VII 
石井谦伍	Ishii Kengo 
马德里王宫	Royal Palace of Madrid 
保土谷区	Hodogaya District 
叶问_(消歧义)	Ip Man_(Disambiguation) 
台湾客家话	Taiwanese Hakka 
中华电信mod	Chunghwa Telecom mod 
新西兰足球协会	New Zealand Football Association 
超级星光大道_(第五届)	Super Avenue of Stars_ (5th) 
广州南站	Guangzhou South Railway Station 
张晋僖	Zhang Jinxi 
恋爱女王	Queen of Love 
荷花水鸟图	Lotus water bird illustration 
希腊足球杯	Greece Football Cup 
大山启辅	Oyama 启辅 
室屋成	Muroyaki 
马来西亚民政运动党	Malaysian Civil Affairs Movement Party 
nrgi公园球场	nrgi park stadium 
射雕三部曲	The Eagle Trilogy 
史密斯学院	Smith College 
森崎和幸	Kazuyuki Morisaki 
保加利亚国民议会	National Assembly of Bulgaria 
德米特里_(腓力五世之子)	Dmitry_ (son of Philip V) 
中菲律宾语支	Central Filipino 
克里米亚联邦管区	Crimea Federal District 
s:行政院组织法	s: Organic Law of the Executive Yuan 
一木喜徳郎	Kitokuro Ichiki 
于若木	Yu Ruomu 
杨属	Populus 
马达加斯加国民议会	National Assembly of Madagascar 
中华人民共和国电子工业部	Ministry of Electronics Industry of the People's Republic of China 
石勒喀河	Shileka 
张靓颖@音乐	Zhang Liangying@音乐 
乔治·罗宾逊，第一代里彭侯爵	George Robinson, the first Marquis of Ripon 
中大西洋地区	Mid-Atlantic 
傅洁娴	Fu Jiexian 
公立研究型大学	Public research university 
黑林山区舍瑙	Schonau in the Black Forest 
吴睿勤	Wu Ruiqin 
白金汉_(英国国会选区)	Buckingham_(British Parliamentary District) 
麦克弗森_(澳大利亚国会选区)	Macpherson_(Australian Parliamentary Constituency) 
梅克内斯皇家军事学院	Meknes Royal Military Academy 
徐日勤	Xu Riqin 
徐嘉平	Xu Jiaping 
无名怨愤	Nameless resentment 
兴田里	Xingtianli 
迪金森学院	Dickinson College 
卡尔加里大学	University of Calgary 
法蒂玛·宾特·穆巴拉克·阿尔凯比	Fatima Bint Mubarak Al Kebi 
臭鼬工厂	Skunk Factory 
会津若松城	Aizuwakamatsu Castle 
宗座署理	Apostle 
滑板朋克	Skateboard punk 
汐留城市中心	Shiodome City Center 
摩顿湾区政府	Moreton Bay District Government 
奥兰治圣约瑟夫修女会	Sisters of St. Joseph of Orange 
顺子女王	Straight Queen 
上海东亚	Shanghai East Asia 
最高国家安全委员会	Supreme National Security Council 
比乌-曼达拉语支	Biu-Mandala 
萨普迪群岛	Sapudi Islands 
李忠琛	Li Zhongchen 
圣日耳曼条约	Treaty of Saint-Germain 
俄亥俄县_(西弗吉尼亚州)	Ohio County_(West Virginia) 
城市管理	City management 
幸福的钟声	Bells of happiness 
李佳臻	Li Jiazhen 
亡命暗杀令	Desperate assassination order 
utc-8	utc-8 
射雕英雄传_(2008年电视剧)	Legend of the Condor Heroes_ (2008 TV series) 
镰田克明	Kamada Katsuaki 
越南劳动党	Vietnam Labor Party 
挪威保守党	Norwegian Conservative Party 
朝鲜民主主义人民共和国人民武装力量部	Ministry of People's Armed Forces of the Democratic People's Republic of Korea 
昆士兰州东南部	Southeastern Queensland 
蔡和森	Cai Hesen 
马拉坎南宫	Malacañang 
高沙历	Gao Shali 
自由国民会议	Free national council 
札幌证券交易所	Sapporo Stock Exchange 
匈牙利足球总会	Hungary Football Association 
江政彦	Jiang Zhengyan 
德意志联邦银行	Deutsche Bundesbank 
足球骑士	Football knight 
穿透屋顶的high_kick！	The high_kick that penetrates the roof! 
多德勒支足球俱乐部	Dordrecht Football Club 
市政厅_(伦敦市)	City Hall_ (City of London) 
美国哥伦比亚特区联邦巡回上诉法院	U.S. Court of Appeals for the Federal Circuit, District of Columbia 
能看见鬼的警察处容	The policeman who can see ghosts 
乔丹–维格纳变换	Jordan--Wigner Transform 
政务院人民监察委员会	People's Supervision Committee of the State Council 
多范型编程语言	Multi-paradigm programming language 
国际体育联盟	International Sports Federation 
永山治	Nagayamaji 
行为科学	Behavioral Science 
俄罗斯联邦议会	Parliament of the Russian Federation 
竹园里	In the bamboo garden 
劳动和社会公正－选举替代	Labor and social justice-alternative to elections 
工人共产党	Workers' Communist Party 
无线电视台庆	TVB celebrates 
命令行界面	Command line interface 
第一次中日战争	The first Sino-Japanese war 
布达佩斯科技经济大学	Budapest University of Technology and Economics 
冰岛中央银行	Central Bank of Iceland 
万超岐	Wan Chaoqi 
马都拉语群	Madura Group 
古巴行政区划	Administrative divisions of Cuba 
美丽蓝旗	Beautiful blue flag 
杰西·罗布雷多	Jesse Robredo 
谢莫纳城钢铁工人足球俱乐部	Shemona City Steel Workers Football Club 
私有软体	Proprietary software 
甜蜜杀机	Sweet murder 
金彗星	Kim Hye Seong 
大连周水子国际机场	Dalian Zhoushuizi International Airport 
生存游戏	Survival game 
圣詹姆斯公园球场	St. James's Park 
行政院研究发展考核委员会	Executive Yuan Research and Development Evaluation Committee 
英国电影和电视艺术学院	British Academy of Film and Television Arts 
恋情告急	Romance 
阿尔巴尼亚国防部长	Minister of Defence of Albania 
埃尔夫沃德_(威塞克斯)	Elf Ward_ (Wessex) 
爱德华·劳伦斯·洛根将军国际机场	General Edward Lawrence Logan International Airport 
神武天皇	Emperor Jimmu 
小西蒙·玻利瓦尔·巴克纳	Simon Bolivar Buckner Jr 
艾纳杰夫足球俱乐部	Ainajaf Football Club 
散射矩阵	Scattering matrix 
mykhaylo_fomenko	mykhaylo fomenko 
樱桃树唱片公司	Cherry Tree Records 
布拉格波希米亚足球俱乐部	Prague Bohemia Football Club 
提迪攀	Tidipan 
布鲁塞尔自由大学	Free University of Brussels 
呼和浩特市体育场	Hohhot Stadium 
时田优	Tokada Yu 
高级专员	The High Commissioner 
王军_(企业家)	Wang Jun_ (Entrepreneur) 
新大久保站	Shin-Okubo Station 
李紫昕	Li Zixin 
堀北真希	Horikita Maki 
可米大伯制作有限公司	Komi Uncle Production Co., Ltd. 
王雪红	Wang Xuehong 
春武里足球俱乐部	Chonburi Football Club 
全球城市人口排名	Global city population ranking 
艾尔弗雷德·米尔纳，第一代米尔纳子爵	Alfred Milner, the first Viscount Milner 
芬兰民族进步党	Finnish National Progressive Party 
阿尔巴尼亚劳动青年联盟	Albanian Working Youth Union 
池田大介	Daisuke Ikeda 
格鲁吉亚正教会	Georgian Orthodox Church 
金田一少年之事件簿	Kindaichi Case Book 
石硖尾体育会	Shek Kip Mei Sports Association 
苏利亚足球俱乐部	Suria Football Club 
阿灵顿县_(维吉尼亚州)	Arlington County_(Virginia) 
香港保卫战	Defence of Hong Kong 
谭照华	Tan Zhaohua 
户越magome	Togoshi magome 
饭丰町	Iide Town 
自创女鞋品牌老板	Owner of self-made women's shoes brand 
野泽太三	Tazo Nosou 
林勇介	Lin Yongsuke 
奥地利的玛丽·瓦莱丽	Mary Valerie of Austria 
伊斯兰教历	Islamic calendar 
谢智安	Xie Zhian 
富士重工业	Fuji Heavy Industries 
路易斯维尔大学	University of Louisville 
国产实业集团	Domestic Industry Group 
京士顿河畔豪城西和希素_(英国国会选区)	Kingston Riverside City West and Xisu_ (British Parliamentary District) 
但丁·阿利吉耶里	Dante Alighieri 
巴伐利亚王后奥地利-埃斯特的玛丽亚·特蕾莎	Maria Theresa of Austria-Este, Queen of Bavaria 
存在主义心理学	Existential psychology 
约安-弗里索王子	Prince Joan Frisso 
赵美慧	Zhao Meihui 
杨家枪法	Yang's Spear 
梦想的翅膀	Dream wings 
东突厥语支	East Turkic 
超对称	Super symmetry 
华纳兄弟娱乐公司	Warner Bros. Entertainment 
全球华语科幻星云奖	Global Chinese Science Fiction Nebula Award 
索马里联邦政府	Somalia Federal Government 
p-funk	p-funk 
施连锡克	Schlensik 
动物行为学	Animal behavior 
循道中学	Methodist Middle School 
奥斯曼王朝	Ottoman Dynasty 
绿头鸭	Mallard 
查尔斯顿县_(南卡罗来纳州)	Charleston County_ (South Carolina) 
越南行政区划	Administrative divisions of Vietnam 
中寮里_(旗山区)	Zhongliao Li_(Qishan District) 
神宫杉	Jingu Sugi 
洛夫特斯路球场	Loftus Road Stadium 
曼谷大皇宫	Bangkok Grand Palace 
尚可喜	Shang Kexi 
全俄罗斯中央执行委员会	All-Russian Central Executive Committee 
八里湖体育中心	Balihu Sports Center 
真子秀德	Hidede Mako 
密支那	Myitkyina 
西奈和巴勒斯坦运动	Sinai and Palestine Movement 
rpga988b	rpga988b 
合成摇滚	Synthetic Rock 
义大利太空总署	Italian Space Agency 
abo血型系统	abo blood group system 
植竹繁雄	Shigeo Uetake 
东北育才学校	Northeast Yucai School 
刘震武	Liu Zhenwu 
高加索阿尔巴尼亚王国	Kingdom of Albania, Caucasus 
eclipse公共许可证	eclipse public license 
航空航天	Aerospace 
后藤友香里	Goto Yukari 
尹炳世	Yin Bing Se 
另一种灿烂生活	Another splendid life 
奥古斯塔号重巡洋舰_(ca-31)	USS Augusta heavy cruiser_ (ca-31) 
孔斯坦·范登·斯托克球场	Constance Vanden Stock Stadium 
米南加保足球俱乐部	Minangabao Football Club 
井内舞子	Maiko Iuchi 
国民教育与宣传部	Ministry of National Education and Propaganda 
bgn/pcgn罗马化系统	bgn/pcgn romanization system 
那不勒斯王国	Kingdom of Naples 
朝鲜族_朝-%7b%7d-鲜族	Korean_Chao-%7b%7d-Xian 
沈妃_(明思宗)	Concubine Shen_(Ming Sizong) 
伍嘉良	Wu Jialiang 
台湾客家语拼音方案	Taiwan Hakka Pinyin Plan 
德国第9军团	German 9th Army 
青岛中能	Qingdao Zhongneng 
南类班图语群	Southern Bantu Group 
唐·佩奇_(物理学家)	Don Page_ (physicist) 
卢提西行动	Operation Lutis 
雅赫摩斯-美丽塔蒙	Yahmos-Beautiful Tamon 
台北scsc女子足球队	Taipei scsc women's football team 
中国船舶重工集团	China Shipbuilding Industry Corporation 
五千日圆纸币	Five thousand yen banknotes 
信德院殿	Sindh Temple 
李国立	Li Guoli 
德国总理府	German Chancellery 
南非高级专员	High Commissioner of South Africa 
福斯探照灯影业	Fox Searchlight Pictures 
第三届全国人民代表大会	The Third National People's Congress 
翡翠东方	Emerald Oriental 
信浓町站	Shinanomachi Station 
伦敦大学柏贝克学院	Birkbeck, University of London 
兰达杰耶德联足球俱乐部	Randa Jayed United Football Club 
爱利亚学派	Eliya School 
青少年流行	Teen Pop 
利马索尔足球俱乐部	Limassol Football Club 
八大娱乐台	Eight entertainment stations 
管培俊	Guan Peijun 
李辜心	Li Guxin 
梁文华	Liang Wenhua 
阿梅迪奥八世	Amedio VIII 
古代汉语	ancient Chinese 
郴州市奥林匹克体育中心	Chenzhou Olympic Sports Center 
卡达竞技	Kada Sports 
苏联国防部	Soviet Ministry of Defense 
舞原贤三	Maihara Kenzo 
刘柏坚	Liu Baijian 
南宁普通话	Nanning Mandarin 
非凡电视台	Extraordinary TV 
匹兹堡大学	University of Pittsburgh 
幸福铁板烧	Happy Teppanyaki 
剑桥大学国王学院	King's College, Cambridge University 
首相署部长	Minister in the Prime Minister's Department 
第三组宇航员	The third group of astronauts 
广阳郡	Guangyang County 
强力流行	Powerful pop 
池田多惠子	Ikeda Taeko 
乌克兰共产党	Communist Party of Ukraine 
格迪米尼兹王朝	Gediminz Dynasty 
鸭志田一	Kamo Shidaichi 
面向侧面的程序设计	Aspect-oriented programming 
确认死亡	Confirmed death 
和光市	Wakwang 
中央电视台总部大楼	CCTV Headquarters Building 
杜希达联足球俱乐部	Duhida United Football Club 
波特县_(宾夕法尼亚州)	Porter County_(Pennsylvania) 
何雁诗	He Yanshi 
法属印度支那总督	Governor of French Indochina 
前700年代	700s before 
彼德拉河_(圣胡安河支流)	Piedra River_ (a tributary of the San Juan River) 
罗尚正	Luo Shangzheng 
永勤（宾夕法尼亚州）	Yong Qin (Pennsylvania) 
中国人民政治协商会议第八届全国委员会委员名单	List of members of the Eighth National Committee of the Chinese People's Political Consultative Conference 
美国野战炮兵进行曲	American Field Artillery March 
康涅狄格州州长	Governor of Connecticut 
小屋松知哉	Hut Matsutoya 
大众汽车	Volkswagen 
大明殿	Daming Hall 
袁英明	Yuan Yingming 
罗锡畴	Luo Xichou 
北港郡	Beigang County 
拉科鲁尼亚竞技	Atletico A Coruna 
朝鲜大学（日本）	Chosun University (Japan) 
古尔德带	Gould Belt 
国家学说	National doctrine 
伊德利卜市战役	Battle of Idlib 
亚历山德鲁伊万库扎大学	Alexandru Ivankuza University 
mr._probz	mr._probz 
yasodharapura	Yashodharapur 
布由德利的鲍德温伯爵	Earl Baldwin of Bewdley 
国立屏东大学	National Pingtung University 
偷偷爱着你	Secretly loving you 
罗克兰县_(纽约州)	Rockland County_(New York State) 
克莱门斯·温斯拉_(萨克森)	Clemens Winsla_ (Saxony) 
洛约什二世	Lojos II 
国际中间民主联盟	International union of middle democracy 
圣安瑟伦学院	Saint Anselm College 
天狼星卫星广播	Sirius Satellite Radio 
亨利七世	Henry VII 
汶莱国家足球协会	Brunei National Football Association 
寝宫侍臣	Courtier 
开普敦国际机场	Cape Town International Airport 
伊朗足球协会	Iran Football Association 
梁志荣	Liang Zhirong 
罗里_(北卡罗来纳州)	Rory_ (North Carolina) 
b-50超级堡垒轰炸机	b-50 superfortress bomber 
徐海贞	Xuhai 
第四代阿伯丁伯爵乔治·汉密尔顿-戈登	George Hamilton-Gordon, 4th Earl of Aberdeen 
欧阳靖_(消歧义)	Ouyang Jing_ (disambiguation) 
nbc新闻	nbc news 
国立台东高级商业职业学校	National Taitung Advanced Commercial Vocational School 
和田地区	Hotan area 
星空传媒	Star Media 
维高文化	Vigo Culture 
小川庆治朗	Ogawa Keijiro 
金子轻松出来吧	Let the gold come out easily 
比谢列	Biscele 
中国摇滚乐	Chinese Rock 
钱嘉东	Qian Jiadong 
细胞病理学	Cytopathology 
厄瓜多行政区划	Administrative divisions of Ecuador 
亚历山大二世	Alexander II 
起源中心	Origin Center 
天主教伯明翰总教区	Catholic Archdiocese of Birmingham 
世界拉力赛车	World Rally Car 
摩罗西亚国王列表	List of Kings of Morosia 
社会工作者	social worker 
杨省世	Yang Shengshi 
.to	.to 
国防部陆军司令部	Department of Defense Army Command 
